R_bin,N,A_kms,sigma_resid_kms
"[0, 5)",68,441.3427229740747,115.79812663853578
"[5, 10)",29,-238.8442710998975,114.59788810204932
"[10, 20)",27,-131.92335161102812,145.18100461597228
"[20, 50)",13,-109.73386001896382,127.42504863336494
