multiplier,threshold_kms,n_outliers,pct
1.0,84.15853010787981,71,49.65034965034965
1.25,105.19816263484977,60,41.95804195804196
1.5,126.23779516181972,47,32.86713286713287
2.0,168.31706021575962,30,20.97902097902098
